sno,chapter_verse,chapter,verse,eng_def,eng_dict,eng_shloka,sanskrit_shloka,hindi_def,hindi_shloka,telugu_def,telugu_shloka,next,prev
130,3.27,3,27,"All activities are carried out by the three modes of material nature. But in ignorance, the soul, deluded by false identification with the body, thinks of itself as the doer.","{""prakṛiteḥ"": ""of material nature"", ""kriyamāṇāni"": ""carried out"", ""guṇaiḥ"": ""by the three modes"", ""karmāṇi"": ""activities"", ""sarvaśhaḥ"": ""all kinds of"", ""ahankāra-vimūḍha-ātmā"": ""those who are bewildered by the ego and misidentify themselves with the body"", ""kartā"": ""the doer"", ""aham"": ""I"", ""iti"": ""thus"", ""manyate"": ""thinks""}","prakṛiteḥ kriyamāṇāni guṇaiḥ karmāṇi sarvaśhaḥ 
 ahankāra-vimūḍhātmā kartāham iti manyate","प्रकृते: क्रियमाणानि गुणै: कर्माणि सर्वश: |
अहङ्कारविमूढात्मा कर्ताहमिति मन्यते || 27||",जीवात्मा देह के मिथ्या ज्ञान के कारण स्वयं को अपने सभी कर्मों का कर्ता समझती है।यद्यपि विश्व के सभी कार्य प्रकृति के तीन गुणों के अन्तर्गत सम्पन्न होते हैं लेकिन अहंकारवश,"प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः । 
 
अहङ्कारविमूढात्मा कर्ताहमिति मन्यते ॥27॥","అన్ని కార్యములు కూడా ప్రకృతి త్రిగుణముల చేతనే చేయబడును. కానీ, అజ్ఞానంలో, జీవాత్మ, తాను ఈ శరీరమే అన్న భ్రమతో, తానే కర్తను (చేసేవాడిని) అని అనుకుంటుంది.","ప్రకృతేః క్రియమాణాని గుణైః కర్మాణి సర్వశః ।  
  అహంకారవిమూఢాత్మా కర్తాఽహమితి మన్యతే ।। 27 ।।",131,129
131,3.28,3,28,"O mighty-armed Arjun, illumined persons distinguish the soul as distinct from guṇas and karmas. They perceive that it is only the guṇas (in the shape of the senses, mind, and others) that move among the guṇas (in the shape of the objects of perception), and thus they do not get entangled in them.","{""tattva-vit"": ""knower of the truth"", ""tu"": ""but"", ""mahā-bāho"": ""mighty-armed one"", ""guṇa-karma"": ""from guṇas and karma"", ""vibhāgayoḥ"": ""distinguish"", ""guṇāḥ"": ""modes of material nature in the shape of the senses, mind, and others"", ""guṇeṣhu"": ""modes of material nature in the shape of objects of perception"", ""vartante"": ""are engaged"", ""iti"": ""thus"", ""matvā"": ""knowing"", ""na"": ""never"", ""sajjate"": ""becomes attached""}","tattva-vit tu mahā-bāho guṇa-karma-vibhāgayoḥ 
 guṇā guṇeṣhu vartanta iti matvā na sajjate","तत्त्ववित्तु महाबाहो गुणकर्मविभागयो: |
गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते || 28||","हे महाबाहु अर्जुन! तत्त्वज्ञानी आत्मा की पहचान गुणों और कर्मों से भिन्न करते हैं वे समझते हैं कि 'इन्द्रिय, मन, आदि के रूप में केवल गुण ही हैं जो इन्द्रिय विषयों, (गुणेषु) में संचालित होते हैं और इसलिए वे उनमें नहीं फंसते।","तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः। 
 
गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते ॥28॥","ఓ మహా బాహువులున్న అర్జునా, జ్ఞానులు, ప్రకృతి-గుణములు మరియు కర్మ నుండి జీవాత్మను వేరుగా చూస్తారు. గుణములే (ఇంద్రియములు, మనస్సు వంటి రూపంలో ఉన్న) గుణముల (ఇంద్రియ గ్రాహ్య విషయ వస్తు రూపంలో) యందు కదులుతున్నవని తెలుసుకుని వాటి యందు ఆసక్తులు కారు.","తత్త్వవిత్తు మహాబాహో గుణకర్మవిభాగయోః ।  
  గుణా గుణేషు వర్తంత ఇతి మత్వా న సజ్జతే ।। 28 ।।",132,130
132,3.29,3,29,Those who are deluded by the operation of the guṇas become attached to the results of their actions. But the wise who understand these truths should not unsettle such ignorant people who know very little.,"{""prakṛiteḥ"": ""of material nature"", ""guṇa"": ""by the modes of material nature"", ""sammūḍhāḥ"": ""deluded"", ""sajjante"": ""become attached"", ""guṇa-karmasu"": ""to results of actions"", ""tān"": ""those"", ""akṛitsna-vidaḥ"": ""persons without knowledge"", ""mandān"": ""the ignorant"", ""kṛitsna-vit"": ""persons with knowledge"", ""na vichālayet"": ""should not unsettle""}","prakṛiter guṇa-sammūḍhāḥ sajjante guṇa-karmasu 
 tān akṛitsna-vido mandān kṛitsna-vin na vichālayet","प्रकृतेर्गुणसम्मूढा: सज्जन्ते गुणकर्मसु |
तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् || 29||","वे मनुष्य जो प्रकृति के गुणों के प्रभाव से मोहित होकर फल प्राप्ति की कामना के साथ अपने कर्म करते हैं लेकिन बुद्धिमान पुरुष जो इस परम सत्य को जानते हैं, उन्हें ऐसे अज्ञानी लोगों को विचलित नहीं करना चाहिए जिनका ज्ञान अल्प होता है।","प्रकृतेर्गुणसम्मूढाः सज्जन्ते गुणकर्मसु । 
 
तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् ॥29॥","గుణముల ప్రవృత్తిచే భ్రమకు లోనయిన వారు, వారి కర్మ ఫలముల యందు ఆసక్తులవుతారు. కానీ, ఈ సత్యములను అర్థం చేసుకున్న జ్ఞానులు, ఇది తెలియని అజ్ఞానులను కలవర పరచరాదు.","ప్రకృతేర్గుణ సమ్మూఢాః సజ్జంతే గుణకర్మసు ।  
  తానకృత్స్నవిదో మందాన్కృత్స్నవిన్న విచాలయేత్ ।। 29 ।।",133,131
133,3.3,3,30,"Performing all works as an offering unto Me, constantly meditate on Me as the Supreme. Become free from desire and selfishness, and with your mental grief departed, fight!","{""mayi"": ""unto me"", ""sarvāṇi"": ""all"", ""karmāṇi"": ""works"", ""sannyasya"": ""renouncing completely"", ""adhyātma-chetasā"": ""with the thoughts resting on God"", ""nirāśhīḥ"": ""free from hankering for the results of the actions"", ""nirmamaḥ"": ""without ownership"", ""bhūtvā"": ""so being"", ""yudhyasva"": ""fight"", ""vigata-jvaraḥ"": ""without mental fever""}","mayi sarvāṇi karmāṇi sannyasyādhyātma-chetasā 
 nirāśhīr nirmamo bhūtvā yudhyasva vigata-jvaraḥ","मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा |
निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वर: || 30||",अपने समस्त कर्मों को मुझको अर्पित करके और परमात्मा के रूप में निरन्तर मेरा ध्यान करते हुए कामना और स्वार्थ से रहित होकर अपने मानसिक दुखों को त्याग कर युद्ध करो।,"मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा । 
 
निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः ॥30॥","అన్ని కార్యములను నాకు అర్పితముగా చేసి, పరమేశ్వరుడైన నాయందే నిరంతరం నీ ధ్యాస ఉంచుము. ఆశ, స్వార్ఠ చింతన విడిచి మరియు మానసిక శోకము వీడినవాడివై, యుద్ధం చేయుము!","మయి సర్వాణి కర్మాణి సంన్యస్యాధ్యాత్మచేతసా ।  
  నిరాశీర్నిర్మమో భూత్వా యుధ్యస్వ విగతజ్వరః ।। 30 ।।",134,132
134,3.31,3,31,"Those who abide by these teachings of Mine, with profound faith and free from envy, are released from the bondage of karma.","{""ye"": ""who"", ""me"": ""my"", ""matam"": ""teachings"", ""idam"": ""these"", ""nityam"": ""constantly"", ""anutiṣhṭhanti"": ""abide by"", ""mānavāḥ"": ""human beings"", ""śhraddhā-vantaḥ"": ""with profound faith"", ""anasūyantaḥ"": ""free from envy"", ""muchyante"": ""become free"", ""te"": ""those"", ""api"": ""also"", ""karmabhiḥ"": ""from the bondage of karma""}","ye me matam idaṁ nityam anutiṣhṭhanti mānavāḥ 
 śhraddhāvanto ’nasūyanto muchyante te ’pi karmabhiḥ","ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवा: |
श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभि: || 31||","जो मनुष्य अगाध श्रद्धा के साथ मेरे इन उपदेशों का अनुपालन करते हैं और दोष दृष्टि से परे रहते हैं, वे कर्म के बंधनों से मुक्त हो जाते हैं।","ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः। 
 
श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः ॥31॥","పూర్తి శ్రద్ధ, విశ్వాసంతో, అసూయ లేకుండా, నా ఈ బోధనలను పాటించే వారు కర్మ బంధముల నుండి విముక్తులౌతారు.","యే మే మతమిదం నిత్యమనుతిష్ఠంతి మానవాః ।  
  శ్రద్ధావంతోఽనసూయంతో ముచ్యంతే తేఽపి కర్మభిః ।। 31 ।।",135,133
135,3.32,3,32,"But those who find faults with My teachings, being bereft of knowledge and devoid of discrimination, they disregard these principles and bring about their own ruin.","{""ye"": ""those"", ""tu"": ""but"", ""etat"": ""this"", ""abhyasūyantaḥ"": ""cavilling"", ""na"": ""not"", ""anutiṣhṭhanti"": ""follow"", ""me"": ""my"", ""matam"": ""teachings"", ""sarva-jñāna"": ""in all types of knowledge"", ""vimūḍhān"": ""deluded"", ""tān"": ""they are"", ""viddhi"": ""know"", ""naṣhṭān"": ""ruined"", ""achetasaḥ"": ""devoid of discrimination""}","ye tvetad abhyasūyanto nānutiṣhṭhanti me matam 
 sarva-jñāna-vimūḍhāns tān viddhi naṣhṭān achetasaḥ","ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम् |
सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतस: || 32||","किन्तु जो मेरे उपदेशों में दोष ढूंढते हैं, वे ज्ञान से वंचित और विवेकहीन होते हैं, इन सिद्धान्तों की उपेक्षा करने से वे अपने विनाश का कारण बनते हैं।","ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम्। 
 
सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः ॥32॥","కానీ, జ్ఞానం లేక మరియు విచక్షణ లోపించి, నా ఈ బోధనలో లోపాలను వెతికేవారు, ఈ సిద్ధాంతములను నిర్లక్ష్యముచేసి తమ భ్రష్టత్వాన్ని తామే కోరి తెచ్చుకుంటారు.","యే త్వేతదభ్యసూయంతో నానుతిష్ఠంతి మే మతమ్ ।  
  సర్వజ్ఞాన విమూఢాంస్తాన్విద్ధి నష్టానచేతసః ।। 32 ।।",136,134
136,3.33,3,33,"Even wise people act according to their natures, for all living beings are propelled by their natural tendencies. What will one gain by repression?","{""sadṛiśham"": ""accordingly"", ""cheṣhṭate"": ""act"", ""svasyāḥ"": ""by their own"", ""prakṛiteḥ"": ""modes of nature"", ""jñāna-vān"": ""the wise"", ""api"": ""even"", ""prakṛitim"": ""nature"", ""yānti"": ""follow"", ""bhūtāni"": ""all living beings"", ""nigrahaḥ"": ""repression"", ""kim"": ""what"", ""kariṣhyati"": ""will do""}","sadṛiśhaṁ cheṣhṭate svasyāḥ prakṛiter jñānavān api 
 prakṛitiṁ yānti bhūtāni nigrahaḥ kiṁ kariṣhyati","सदृशं चेष्टते स्वस्या: प्रकृतेर्ज्ञानवानपि |
प्रकृतिं यान्ति भूतानि निग्रह: किं करिष्यति || 33||","बुद्धिमान लोग भी अपनी प्रकृति के अनुसार कार्य करते हैं क्योंकि सभी जीव अपनी स्वाभाविक प्रवृत्ति से प्रेरित होते हैं, किसी को दमन से क्या प्राप्त हो सकता है।","सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि । 
 
प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति ॥33॥",వివేకవంతులు కూడా తమ ప్రకృతి స్వభావం అనుసరించి పనులు చేస్తారు. అన్ని ప్రాణులు తమ తమ సహజ ప్రవృత్తికి అనుగుణంగా నడుచుకుంటాయి. దీనిని నిగ్రహించటం వల్ల ఏమి ప్రయోజనం?,"సదృశం చేష్టతే స్వస్యాః ప్రకృతేః జ్ఞానవానపి ।  
  ప్రకృతిం యాంతి భూతాని నిగ్రహః కిం కరిష్యతి ।। 33 ।।",137,135
137,3.34,3,34,"The senses naturally experience attachment and aversion to the sense objects, but do not be controlled by them, for they are way-layers and foes.","{""indriyasya"": ""of the senses"", ""indriyasya arthe"": ""in the sense objects"", ""rāga"": ""attachment"", ""dveṣhau"": ""aversion"", ""vyavasthitau"": ""situated"", ""tayoḥ"": ""of them"", ""na"": ""never"", ""vaśham"": ""be controlled"", ""āgachchhet"": ""should become"", ""tau"": ""those"", ""hi"": ""certainly"", ""asya"": ""for him"", ""paripanthinau"": ""foes""}","indriyasyendriyasyārthe rāga-dveṣhau vyavasthitau 
 tayor na vaśham āgachchhet tau hyasya paripanthinau","इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ |
तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ || 34||",इन्द्रियों का इन्द्रिय विषयों के साथ स्वाभाविक रूप से राग और द्वेष होता है किन्तु मनुष्य को इनके वशीभूत नहीं होना चाहिए क्योंकि ये आत्म कल्याण के मार्ग के अवरोधक और शत्रु हैं।,"इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ। 
 
तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ ॥34॥","ఇంద్రియములు సహజంగానే ఇంద్రియ వస్తు/విషయములపై రాగ ద్వేషములు కలిగి ఉంటాయి, కానీ వాటికి వశము కాకూడదు, ఎందుకంటే ఇవే మనకు ప్రతిబంధకములు మరియు శత్రువులు.","ఇంద్రియస్యేంద్రియస్యార్థే రాగద్వేషౌ వ్యవస్థితౌ ।  
  తయోర్న వశమాగచ్చేత్తౌ హ్యస్య పరిపన్థినౌ ।। 34 ।।",138,136
138,3.35,3,35,"It is far better to perform one’s natural prescribed duty, though tinged with faults, than to perform another’s prescribed duty, though perfectly. In fact, it is preferable to die in the discharge of one’s duty, than to follow the path of another, which is fraught with danger.","{""śhreyān"": ""better"", ""swa-dharmaḥ"": ""personal duty"", ""viguṇaḥ"": ""tinged with faults"", ""para-dharmāt"": ""than another’s prescribed duties"", ""su-anuṣhṭhitāt"": ""perfectly done"", ""swa-dharme"": ""in one’s personal duties"", ""nidhanam"": ""death"", ""śhreyaḥ"": ""better"", ""para-dharmaḥ"": ""duties prescribed for others"", ""bhaya-āvahaḥ"": ""fraught with fear""}","śhreyān swa-dharmo viguṇaḥ para-dharmāt sv-anuṣhṭhitāt 
 swa-dharme nidhanaṁ śhreyaḥ para-dharmo bhayāvahaḥ","श्रेयान्स्वधर्मो विगुण: परधर्मात्स्वनुष्ठितात् |
स्वधर्मे निधनं श्रेय: परधर्मो भयावह: || 35||",अपने नियत कार्यों को दोष युक्त सम्पन्न करना अन्य के निश्चित कार्यों को समुचित ढंग से करने से कहीं अधिक श्रेष्ठ होता है। वास्तव में अपने कर्तव्य का पालन करते हुए मरना दूसरों के जोखिम से युक्त भयावह मार्ग का अनुसरण करने से श्रेयस्कर होता है।,"श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात्। 
 
स्वधर्मे निधनं श्रेयः परधर्मो भयावहः ॥35॥","ఇతరుల ధర్మాన్ని చక్కగా చేయటం కన్నా, లోపాలతో కూడి ఉన్నా సరే, తన సహజ ధర్మాన్ని నిర్వర్తించటమే అత్యుత్తమము. నిజానికి, స్వధర్మాన్ని నిర్వర్తించటంలో మరణించినా మంచిదే, కానీ ఇతరుల మార్గం (ఇతర ధర్మాన్ని చేయటం) అనుసరించటం ప్రమాదకరమైనది.","శ్రేయాన్ స్వధర్మో విగుణః పరధర్మాత్ స్వనుష్ఠితాత్ ।  
  స్వధర్మే నిధనం శ్రేయః పరధర్మో భయావహః ।। 35 ।।",139,137
139,3.36,3,36,"Arjun asked: Why is a person impelled to commit sinful acts, even unwillingly, as if by force, O descendent of Vrishni (Krishna)?","{""arjunaḥ uvācha"": ""Arjun said"", ""atha"": ""then"", ""kena"": ""by what"", ""prayuktaḥ"": ""impelled"", ""ayam"": ""one"", ""pāpam"": ""sins"", ""charati"": ""commit"", ""pūruṣhaḥ"": ""a person"", ""anichchhan"": ""unwillingly"", ""api"": ""even"", ""vārṣhṇeya"": ""he who belongs to the Vrishni clan, Shree Krishna"", ""balāt"": ""by force"", ""iva"": ""as if"", ""niyojitaḥ"": ""engaged""}","arjuna uvācha 
 atha kena prayukto ’yaṁ pāpaṁ charati pūruṣhaḥ 
 anichchhann api vārṣhṇeya balād iva niyojitaḥ","अर्जुन उवाच |
अथ केन प्रयुक्तोऽयं पापं चरति पूरुष: |
अनिच्छन्नपि वार्ष्णेय बलादिव नियोजित: || 36||","अर्जुन ने कहा! हे वृष्णिवंशी, श्रीकृष्ण! इच्छा न होते हुए भी मनुष्य पापजन्य कर्मों की ओर क्यों प्रवृत्त होता है। ऐसा प्रतीत होता है कि उसे बलपूर्वक पाप कर्मों में लगाया जाता है।","अर्जुन उवाच।  
 
अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः । 
 
अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः ॥36॥","అర్జునుడు ఇలా అడిగాడు: ఓ వృష్ణి వంశీయుడా (శ్రీ కృష్ణా), ఎందుకు ఒక వ్యక్తి అయిష్టంగానయినా, బలవంతంగా ఏదోశక్తి చేపించినట్టు, పాపపు పనులు చేయటానికి ప్రేరేపింపబడును?","అర్జున ఉవాచ ।  
  అథ కేన ప్రయుక్తోఽయం పాపం చరతి పూరుషః ।  
  అనిచ్ఛన్నపి వార్ష్ణేయ బలాదివ నియోజితః ।। 36 ।।",140,138
140,3.37,3,37,"The Supreme Lord said: It is lust alone, which is born of contact with the mode of passion, and later transformed into anger. Know this as the sinful, all-devouring enemy in the world.","{""śhri-bhagavān uvācha"": ""the Supreme Lord said"", ""kāmaḥ"": ""desire"", ""eṣhaḥ"": ""this"", ""krodhaḥ"": ""wrath"", ""rajaḥ-guṇa"": ""the mode of passion"", ""samudbhavaḥ"": ""born of"", ""mahā-aśhanaḥ"": ""all-devouring"", ""mahā-pāpmā"": ""greatly sinful"", ""viddhi"": ""know"", ""enam"": ""this"", ""iha"": ""in the material world"", ""vairiṇam"": ""the enemy""}","śhrī bhagavān uvācha 
 kāma eṣha krodha eṣha rajo-guṇa-samudbhavaḥ 
 mahāśhano mahā-pāpmā viddhyenam iha vairiṇam","श्रीभगवानुवाच |
काम एष क्रोध एष रजोगुणसमुद्भव: ||महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् || 37||","परमात्मा श्रीकृष्ण कहते हैं-अकेली काम वासना जो रजोगुण के सम्पर्क में आने से उत्पन्न होती है और बाद में क्रोध का रूप धारण कर लेती है, इसे पाप के रूप में संसार का सर्वभक्षी शत्रु समझो।","श्रीभगवानुवाच। काम एष क्रोध एष रजोगुणसमुद्भवः । 
 
महाशनो महापाप्मा विद्धयेनमिह वैरिणम् ॥37॥","సర్వోన్నత భగవంతుడు ఇలా పలికెను: రజో గుణము నుండి ఉత్పన్నమయ్యే కామమే (కోరికలు, వాంఛలు), తదుపరి క్రోధముగా పరిణామం చెందుతుంది. దీనిని లోకంలో సర్వనాశనం చేసే పాపిష్టి దాన్నిగా తెలుసుకొనుము.","శ్రీ భగవానువాచ ।  
  కామ ఏష క్రోధ ఏష రజోగుణసముధ్భవః ।  
  మహాశనో మహాపాప్మా విధ్ధ్యేనమిహ వైరిణమ్ ।। 37 ।।",141,139
141,3.38,3,38,"Just as a fire is covered by smoke, a mirror is masked by dust, and an embryo is concealed by the womb, similarly one’s knowledge gets shrouded by desire.","{""dhūmena"": ""by smoke"", ""āvriyate"": ""is covered"", ""vahniḥ"": ""fire"", ""yathā"": ""just as"", ""ādarśhaḥ"": ""mirror"", ""malena"": ""by dust"", ""cha"": ""also"", ""ulbena"": ""by the womb"", ""āvṛitaḥ"": ""is covered"", ""garbhaḥ"": ""embryo"", ""tathā"": ""similarly"", ""tena"": ""by that (desire)"", ""idam"": ""this"", ""āvṛitam"": ""is covered""}","dhūmenāvriyate vahnir yathādarśho malena cha 
 yatholbenāvṛito garbhas tathā tenedam āvṛitam","धूमेनाव्रियते वह्निर्यथादर्शो मलेन च |
यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् || 38||","जैसे अग्नि धुएँ से ढकी रहती है, दर्पण धूल से आवृत रहता है तथा भ्रूण गर्भाशय से अप्रकट रहता है, उसी प्रकार से कामनाओं के कारण मनुष्य के ज्ञान पर आवरण पड़ा रहता है।","धूमेनावियते वह्निर्यथादर्शो मलेन च ।  
 
यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् ॥38॥","నిప్పు పొగచే కప్పబడినట్టుగా, అద్దం దుమ్ముచే మసకబారినట్టుగా, గర్భాయశముచే భ్రూణ శిశువు ఆచ్ఛాదింపబడ్డట్టుగా - ఒక వ్యక్తి యొక్క జ్ఞానము, కామము (కోరిక) చే కప్పివేయబడుతుంది.","ధూమేనావ్రియతే వహ్నిర్యథాదర్శో మలేన చ ।  
  యథోల్బేనావృతో గర్భస్తథా తేనేదమావృతమ్ ।। 38 ।।",142,140
142,3.39,3,39,"The knowledge of even the most discerning gets covered by this perpetual enemy in the form of insatiable desire, which is never satisfied and burns like fire, O son of Kunti.","{""āvṛitam"": ""covered"", ""jñānam"": ""knowledge"", ""etena"": ""by this"", ""jñāninaḥ"": ""of the wise"", ""nitya-vairiṇā"": ""by the perpetual enemy"", ""kāma-rūpeṇa"": ""in the form of desires"", ""kaunteya"": ""Arjun the son of Kunti"", ""duṣhpūreṇa"": ""insatiable"", ""analena"": ""like fire"", ""cha"": ""and""}","āvṛitaṁ jñānam etena jñānino nitya-vairiṇā 
 kāma-rūpeṇa kaunteya duṣhpūreṇānalena cha","आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा |
कामरूपेण कौन्तेय दुष्पूरेणानलेन च || 39||",हे कुन्ती पुत्र! इस प्रकार ज्ञानी पुरुष का ज्ञान भी अतृप्त कामना रूपी नित्य शत्रु से आच्छादित रहता है जो कभी संतुष्ट नहीं होता और अग्नि के समान जलता रहता है।,"आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा । 
 
कामरूपेण कौन्तेय दुष्पूरेणानलेन च ॥39॥","అత్యంత వివేకవంతుల జ్ఞానం కూడా, ఎప్పటికీ తృప్తిపఱుపరాని కోరికల రూపంలో ఉన్న శత్రువుచే కప్పివేయబడుతుంది, ఇది ఎన్నటికీ తీరదు మరియు అగ్నివలె మండుతూనే ఉంటుంది, ఓ కుంతీ పుత్రుడా.","ఆవృతం జ్ఞానమేతేన జ్ఞానినో నిత్యవైరిణా ।  
  కామరూపేణ కౌంతేయ దుష్పూరేణానలేన చ ।। 39 ।।",143,141
143,3.4,3,40,"The senses, mind, and intellect are said to be breeding grounds of desire. Through them, it clouds one’s knowledge and deludes the embodied soul.","{""indriyāṇi"": ""the senses"", ""manaḥ"": ""the mind"", ""buddhiḥ"": ""the intellect"", ""asya"": ""of this"", ""adhiṣhṭhānam"": ""dwelling place"", ""uchyate"": ""are said to be"", ""etaiḥ"": ""by these"", ""vimohayati"": ""deludes"", ""eṣhaḥ"": ""this"", ""jñānam"": ""knowledge"", ""āvṛitya"": ""clouds"", ""dehinam"": ""the embodied soul""}","indriyāṇi mano buddhir asyādhiṣhṭhānam uchyate 
 etair vimohayatyeṣha jñānam āvṛitya dehinam","इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते |
एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् || 40||","इन्द्रिय, मन और बुद्धि को कामना की प्रजनन भूमि कहा जाता है जिनके द्वारा यह मनुष्य के ज्ञान को आच्छादित कर लेती है और देहधारियों को मोहित करती है।","इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते । 
 
एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् ॥40॥","ఇంద్రియములు, మనస్సు, బుద్ధి - ఇవి కోరికల మూల స్థానం అని చెప్పబడును. వాటి ద్వారా అది, వ్యక్తి జ్ఞానాన్ని మరుగుపరుస్తుంది మరియు జీవాత్మని భ్రమకి గురి చేస్తుంది.","ఇంద్రియాణి మనో బుద్ధిరస్యాధిష్ఠానముచ్యతే ।  
  ఏతైర్విమోహయత్యేష జ్ఞానమావృత్య దేహినమ్ ।। 40 ।।",144,142
144,3.41,3,41,"Therefore, O best of the Bharatas, in the very beginning bring the senses under control and slay this enemy called desire, which is the embodiment of sin and destroys knowledge and realization.","{""tasmāt"": ""therefore"", ""tvam"": ""you"", ""indriyāṇi"": ""senses"", ""ādau"": ""in the very beginning"", ""niyamya"": ""having controlled"", ""bharata-ṛiṣhabha"": ""Arjun, the best of the Bharatas"", ""pāpmānam"": ""the sinful"", ""prajahi"": ""slay"", ""hi"": ""certainly"", ""enam"": ""this"", ""jñāna"": ""knowledge"", ""vijñāna"": ""realization"", ""nāśhanam"": ""the destroyer""}","tasmāt tvam indriyāṇyādau niyamya bharatarṣhabha 
 pāpmānaṁ prajahi hyenaṁ jñāna-vijñāna-nāśhanam","तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ |
पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् || 41||",इसलिए हे भरतवंशियों में श्रेष्ठ! प्रारम्भ से ही इन इन्द्रियों को नियंत्रण में रखकर कामना रूपी शत्रु का वध कर डालो जो पाप का मूर्तरूप तथा ज्ञान और आत्मबोध का विनाशक है।,"तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ। 
 
पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् ॥41॥","కాబట్టి ఓ భరత శ్రేష్ఠుడా, మొదట్లోనే ఇంద్రియములను నియంత్రణ లోనికి తెచ్చి, జ్ఞాన విజ్ఞానములను నశింపచేసే ఈ పరమ పాపిష్టి కామము (కోరికలు) అనే శత్రువును నిర్మూలించుము.","తస్మాత్ త్వమింద్రియాణ్యాదౌ నియమ్య భరతర్షభ ।  
  పాప్మానం ప్రజహి హ్యేనం జ్ఞానవిజ్ఞాననాశనమ్ ।। 41 ।।",145,143
145,3.42,3,42,"The senses are superior to the gross body, and superior to the senses is the mind. Beyond the mind is the intellect, and even beyond the intellect is the soul.","{""indriyāṇi"": ""senses"", ""parāṇi"": ""superior"", ""āhuḥ"": ""are said"", ""indriyebhyaḥ"": ""than the senses"", ""param"": ""superior"", ""manaḥ"": ""the mind"", ""manasaḥ"": ""than the mind"", ""tu"": ""but"", ""parā"": ""superior"", ""buddhiḥ"": ""intellect"", ""yaḥ"": ""who"", ""buddheḥ"": ""than the intellect"", ""parataḥ"": ""more superior"", ""saḥ"": ""that (soul)""}","indriyāṇi parāṇyāhur indriyebhyaḥ paraṁ manaḥ 
 manasas tu parā buddhir yo buddheḥ paratas tu saḥ","इन्द्रियाणि पराण्याहुरिन्द्रियेभ्य: परं मन: |
मनसस्तु परा बुद्धिर्यो बुद्धे: परतस्तु स: || 42||","इन्द्रियाँ स्थूल शरीर से श्रेष्ठ हैं और इन्द्रियों से उत्तम मन, मन से श्रेष्ठ बुद्धि और आत्मा बुद्धि से भी परे है।","इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः। 
 
मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः ॥42॥","స్థూల శరీరం కన్నా ఇంద్రియములు ఉన్నతమైనవి, ఇంద్రియముల కన్నా మనస్సు ఉన్నతమైనది. మనస్సు కన్నా ఉన్నతమైనది బుద్ధి, మరియు బుద్ధి కన్నా మరింత ఉన్నతమైనది ఆత్మ.","ఇంద్రియాణి పరాణ్యాహుః ఇంద్రియేభ్యః పరం మనః ।  
  మనసస్తు పరా బుద్ధిః యో బుద్ధేః పరతస్తు సః ।। 42 ।।",146,144
